"num","REGISTRY_ID"
1,110070455604
2,110070488848
3,110071745415
4,110064970946
5,110038198447
6,110067842918
7,110031658329
8,110065730338
9,110066798479
10,110071527082
11,110070425815
12,110070513440
13,110041465615
14,110001888690
15,110062918801
16,110024766895
17,110038007395
18,110030415824
19,110039556511
20,110014779622
21,110014413312
22,110068343643
23,110071877861
24,110005895870
25,110070535139
26,110070022768
27,110066798371
28,110042097557
29,110006328839
30,110003427104
31,110015474789
32,110040513227
33,110059783186
34,110071374427
35,110065674103
36,110056440953
37,110010103468
38,110045295649
39,110010583485
40,110034830324
41,110015646176
42,110070560633
43,110017095542
44,110070442342
45,110039544721
46,110007447389
47,110070163381
48,110014317284
49,110028189127
50,110063223373
51,110029915661
52,110040402338
53,110019162715
54,110063010316
55,110070396552
56,110071205680
57,110019171162
58,110013598623
59,110042257152
60,110070457307
61,110032666292
62,110070472799
63,110070342733
64,110014267186
65,110023164083
66,110014406259
67,110071783595
68,110070407595
69,110070343869
70,110030657536
71,110071785771
72,110019698692
73,110038908876
74,110070937429
75,110058779567
76,110041544521
77,110041054042
78,110071503620
79,110014704631
80,110057091043
81,110071662893
82,110066323151
83,110015567260
84,110018574210
85,110070525622
86,110068441804
87,110042001179
88,110062897502
89,110070467814
90,110018536333
91,110069089097
92,110035333993
93,110071408344
94,110006470265
95,110065362066
96,110038958697
97,110040127671
98,110070478053
99,110045440313
100,110025014758
101,110033128425
102,110071339915
103,110067978594
104,110044661924
105,110056247565
106,110024293496
107,110002194116
108,110070405326
109,110070633689
110,110071262990
111,110070536353
112,110070709984
113,110062891633
114,110056197967
115,110055825433
116,110069473493
117,110027362921
118,110017149343
119,110071720548
120,110016639413
121,110071083476
122,110012710263
123,110059791934
124,110065386834
125,110037056565
126,110024542869
127,110067030625
128,110003436835
129,110019188528
130,110065373072
131,110070209643
132,110003549688
133,110014008572
134,110034987708
135,110070686788
136,110069996269
137,110015502419
138,110015839501
139,110042708433
140,110030602649
141,110069606527
142,110004803963
143,110060313511
144,110044562247
145,110015323746
146,110002528300
147,110070526683
148,110066032251
149,110003258439
150,110070166262
151,110019320858
152,110070292570
153,110002111474
154,110019410412
155,110030504657
156,110017080157
157,110041398396
158,110065808344
